BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0384: 0x0000035b -> 0x01540150   (A 859  B 22282576)
  +0x0388: 0x00000000 -> 0x015c0158   (A 0  B 22806872)
  +0x038c: 0x00000000 -> 0x01640160   (A 0  B 23331168)
  +0x0390: 0x00000000 -> 0x016c0168   (A 0  B 23855464)
  +0x0394: 0x00000000 -> 0x017c0178   (A 0  B 24904056)
  +0x0398: 0x00000000 -> 0x0180017e   (A 0  B 25166206)
  +0x039c: 0x00000000 -> 0x01880184   (A 0  B 25690500)
  +0x03a0: 0x00000000 -> 0x0190018c   (A 0  B 26214796)
  +0x03a4: 0x00000000 -> 0x01980194   (A 0  B 26739092)
  +0x03a8: 0x00000000 -> 0x01a0019c   (A 0  B 27263388)
  +0x03ac: 0x00000000 -> 0x01a801a4   (A 0  B 27787684)
  +0x03b0: 0x00000000 -> 0x01b001ac   (A 0  B 28311980)
  +0x03b4: 0x00000000 -> 0x01b801b4   (A 0  B 28836276)
  +0x03b8: 0x00000000 -> 0x01c001bc   (A 0  B 29360572)
  +0x03bc: 0x00000000 -> 0x01c801c4   (A 0  B 29884868)
  +0x03c0: 0x000000c0 -> 0x01d801d4   (A 192  B 30933460)
  +0x03c4: 0x00000000 -> 0x01dc01da   (A 0  B 31195610)
  +0x03c8: 0x00000000 -> 0x01e401e0   (A 0  B 31719904)
  +0x03cc: 0x00000000 -> 0x01ec01e8   (A 0  B 32244200)
  +0x03d0: 0x00000000 -> 0x01f401f0   (A 0  B 32768496)
  +0x03d4: 0x00000000 -> 0x01fc01f8   (A 0  B 33292792)
  +0x03d8: 0x00000000 -> 0x02040200   (A 0  B 33817088)
  +0x03dc: 0x00000000 -> 0x020c0208   (A 0  B 34341384)
  +0x03e0: 0x01080104 -> 0x00000000   (A 17301764  B 0)
  +0x03e4: 0x0110010c -> 0x00000000   (A 17826060  B 0)
  +0x03e8: 0x0120011c -> 0x00000000   (A 18874652  B 0)
  +0x03ec: 0x01240122 -> 0x00000000   (A 19136802  B 0)
  +0x03f0: 0x012c0128 -> 0x00000000   (A 19661096  B 0)
  +0x03f4: 0x01340130 -> 0x00000000   (A 20185392  B 0)
  +0x03f8: 0x013c0138 -> 0x00000000   (A 20709688  B 0)
  +0x03fc: 0x01440140 -> 0x00000000   (A 21233984  B 0)

=== gpu_va=0x10000100000  A=bo_sigusr1_h0_va10000100000_cpu102e20000_sz8000.hex  B=bo_sigusr1_h0_va10000100000_cpu104914000_sz8000.hex ===
  +0x00a0: 0x0001c500 -> 0x00000000   (A 115968  B 0)
  +0x00a4: 0x00000100 -> 0x00000000   (A 256  B 0)
  +0x0100: 0x00000000 -> 0x00018000   (A 0  B 98304)
  +0x0104: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0108: 0x00000000 -> 0x00018200   (A 0  B 98816)
  +0x010c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0120: 0x00000000 -> 0x00018400   (A 0  B 99328)
  +0x0124: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0128: 0x00000000 -> 0x00018500   (A 0  B 99584)
  +0x012c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0138: 0x00000000 -> 0x00018700   (A 0  B 100096)
